year,section,type,title,date_chambre,date_senate,date_prom,date_moniteur
1906,Intérieur,Loi,Loi déclarant d'utilité publique la Maternité de Port-au-Prince et lui accordant une subvention,7/9/1906,13/09/1906,13/09/1906,3/10/1906
1906,Intérieur,Loi,Loi qui accorde au secrétaire d'Etat de l'intérieur un crédit de G. 30.000 pour la commémoration du centenaire de la mort de Jean-Jacques Dessalines,14/09/1906,15/09/1906,25/09/1906,6/10/1906
1906,Intérieur,Loi,loi qui porte à G. 500 la pension du Général Légitime,7/9/1906,11/9/1906,13/09/1906,6/10/1906
1906,Intérieur,Loi,Loi accordant une rente viagère de cent gourdes au Citoyen Talma Mirambeau,10/9/1906,16/09/1906,25/09/1906,6/10/1906
1906,Intérieur,Loi,Loi ?rigeant en quartier l'endroit appelé Savanette,10/9/1906,16/09/1906,1/10/1906,10/10/1906
1906,Intérieur,Contrat,Contrat de concession à Monsieur Normil Sambour pour l'établissement d'une fabrique d'extrait de Campêche,7/9/1906,15/09/1906,1/10/1906,10/10/1906
1906,Intérieur,Loi,Loi qui érige en quartier le poste de Ganthier et y créé une Justice de Paix,7/9/1906,16/09/1906,1/10/1906,27/10/1906
1906,Intérieur,Loi,Loi sur la réorganisation de la Fonderie Nationale,12/9/1906,6/9/1906,24/09/1906,7/11/1906
1906,Intérieur,Contrat,Contrat pour l'éclairage électrique de Port-de-Paix,14/09/1906,16/09/1906,20/09/1906,7/11/1906
1906,Intérieur,Contrat,Contrat pour l'éclairage électrique des Gonaives,14/09/1906,16/09/1906,8/11/1906,14/11/1906
1906,Intérieur,Loi,Loi qui érige en poste militaire l'endroit appelé Saillant,7/9/1906,16/09/1906,1/10/1906,8/12/1906
1906,Intérieur,Loi,Loi autarisant la fondation de deux établissements pour l'internement des aliénés et des lépreux,15/09/1906,16/09/1906,28/09/1906,3/10/1906
1906,Intérieur,Loi,Loi qui érige en quartier et en poste militaire les endroits appelés Catilleur et Lamielle,30/07/1906,20/07/1906,12/8/1906,11/8/1906
1906,Intérieur,Décret,Décret prolongeant d'un mois la session législative,,,,11/8/1906
1906,Guerre,Loi,Loi qui augmente les appointements de certains officiers militaires,10/9/1906,13/09/1906,20/10/1906,31/10/1906
1906,Finances et Commerce,Arrêté,Arrêté établissant des timbres-mobiles conformément à la loi du 13 Août 1905,,,,24/01/1906
1906,Finances et Commerce,Tarif,Tarif du service postal extérieur,,,,24/03/1906
1906,Finances et Commerce,Loi,"Loi prélevant un droit de P. 2,75 par cent livres, sur des brisures de café.",20/07/1906,17/07/1906,26/07/1906,28/07/1906
1906,Finances et Commerce,Loi,Loi qui autorise la frappe d'un million de gourdes en pièces de Nickel de 10 centimes,3/8/1906,9/8/1906,10/8/1906,11/8/1906
1906,Finances et Commerce,Loi,Loi fixant le payement des droits d'importation en or américain ou en papier monnaie au taux de 300%,17/08/1906,21/08/1906,21/08/1906,22/08/1906
1906,Finances et Commerce,Loi,Loi qui fixe en or américain la valenr des pièces d'argent d'Haiti,13/08/1906,23/08/1906,24/08/1906,29/08/1906
1906,Finances et Commerce,Loi,Loi qiui oblige les consuls d'Haiti d'exposer dans leurs bureaux les échantillons des denrées du pays,13/08/1906,23/08/1906,28/08/1906,12/9/1906
1906,Finances et Commerce,Loi,Loi qui établit un tarif maximum et un tarif minimum pour les douanes,3/9/1906,6/9/1906,10/9/1906,12/9/1906
1906,Finances et Commerce,Loi,Loi qui complète l'article 27 de la loi du 4 Septembre 1905 sur les douanes,3/9/1906,6/9/1906,10/9/1906,15/09/1906
1906,Finances et Commerce,Arrêté,Arrété rétablissant sur le savon les anciennes taxes à l'Importation,,,,22/09/1906
